name,category,subcategory
Bobby Hull,sports,hockey
Alex Delvecchio,sports,hockey
Xavi Hernandez,sports,soccer
Luis Figo,sports,soccer
Mike Bossy,sports,hockey
Billy Cunningham,sports,basketball
Max Bentley,sports,hockey
Pele,sports,soccer
Michael Jordan,sports,basketball
Tim Duncan,sports,basketball
Mario Kempes,sports,soccer
Cy Denneny,sports,hockey
Hal Greer,sports,basketball
Eric Lindros,sports,hockey
Sandro Mazzola,sports,soccer
Nate Archibald,sports,basketball
Billy Smith,sports,hockey
Kawhi Leonard,sports,basketball
Dwyane Wade,sports,basketball
Karl Malone,sports,basketball
Dirk Nowitzki,sports,basketball
Steve Yzerman,sports,hockey
Franz Beckenbauer,sports,soccer
Willis Reed,sports,basketball
Zinedine Zidane,sports,soccer
Diego Maradona,sports,soccer
Luis Suarez (Miramontes),sports,soccer
Preben Elkjaer,sports,soccer
George Weah,sports,soccer
Thierry Henry,sports,soccer
Russell Westbrook,sports,basketball
Patrick Roy,sports,hockey
Anthony Davis,sports,basketball
Kenny Dalglish,sports,soccer
Wayne Gretzky,sports,hockey
Earl Monroe,sports,basketball
Paul Coffey,sports,hockey
Johnny Bucyk,sports,hockey
John Stockton,sports,basketball
Mark Messier,sports,hockey
Neymar Jr.,sports,soccer
Brian Leetch,sports,hockey
Nate Thurmond,sports,basketball
Paul Arizin,sports,basketball
Clyde Drexler,sports,basketball
Jason Kidd,sports,basketball
Charles Barkley,sports,basketball
Serge Savard,sports,hockey
Kylian Mbappe,sports,soccer
Pavel Nedved,sports,soccer
George Mikan,sports,basketball
Gordon Banks,sports,soccer
Ray Allen,sports,basketball
Omar Sivori,sports,soccer
Jairzinho,sports,soccer
Gary Payton,sports,basketball
Andres Iniesta,sports,soccer
James Harden,sports,basketball
Shaquille O'Neal,sports,basketball
Nels Stewart,sports,hockey
Dominique Wilkins,sports,basketball
Dickie Moore,sports,hockey
Lev Yashin,sports,soccer
Daniel Passarella,sports,soccer
John Havlicek,sports,basketball
Cafu,sports,soccer
Eusebio,sports,soccer
Kevin Keegan,sports,soccer
Elgin Baylor,sports,basketball
Elvin Hayes,sports,basketball
Hristo Stoichkov,sports,soccer
Peter Stastny,sports,hockey
Charlie Conacher,sports,hockey
Allen Iverson,sports,basketball
Kaka,sports,soccer
Jari Kurri,sports,hockey
Kareem Abdul-Jabbar,sports,basketball
Ray Bourque,sports,hockey
Roberto Baggio,sports,soccer
Frank Boucher,sports,hockey
Maurice Richard,sports,hockey
King Clancy,sports,hockey
Jacques Plante,sports,hockey
Patrick Ewing,sports,basketball
Lionel Messi,sports,soccer
Bill Russell,sports,basketball
Julius Erving,sports,basketball
Tony Esposito,sports,hockey
Bobby Orr,sports,hockey
Raymond Kopa,sports,soccer
Martin Brodeur,sports,hockey
Borje Salming,sports,hockey
Bob McAdoo,sports,basketball
Johan Cruyff,sports,soccer
Walt Frazier,sports,basketball
Paolo Maldini,sports,soccer
Garrincha,sports,soccer
Bob Cousy,sports,basketball
Dave DeBusschere,sports,basketball
Charlie Gardiner,sports,hockey
Bernie Parent,sports,hockey
Romario,sports,soccer
